tweet_id,followers_count,favourites_count,retweet_count,created_at
892420643555336193,3200889,39467,8853,2015-11-15 21:41:29+00:00
892177421306343426,3200889,33819,6514,2015-11-15 21:41:29+00:00
891815181378084864,3200889,25461,4328,2015-11-15 21:41:29+00:00
891689557279858688,3200889,42908,8964,2015-11-15 21:41:29+00:00
891327558926688256,3200889,41048,9774,2015-11-15 21:41:29+00:00
891087950875897856,3200889,20562,3261,2015-11-15 21:41:29+00:00
890971913173991426,3200889,12041,2158,2015-11-15 21:41:29+00:00
890729181411237888,3200889,56848,16716,2015-11-15 21:41:29+00:00
890609185150312448,3200889,28226,4429,2015-11-15 21:41:29+00:00
890240255349198849,3200889,32467,7711,2015-11-15 21:41:29+00:00
890006608113172480,3200889,31166,7624,2015-11-15 21:41:29+00:00
889880896479866881,3200889,28268,5156,2015-11-15 21:41:29+00:00
889665388333682689,3200889,38818,8538,2015-11-15 21:41:29+00:00
889638837579907072,3200889,27672,4735,2015-11-15 21:41:29+00:00
889531135344209921,3200889,15359,2321,2015-11-15 21:41:29+00:00
889278841981685760,3200889,25652,5637,2015-11-15 21:41:29+00:00
888917238123831296,3200889,29611,4709,2015-11-15 21:41:29+00:00
888804989199671297,3200889,26080,4559,2015-11-15 21:41:29+00:00
888554962724278272,3200889,20290,3732,2015-11-15 21:41:29+00:00
888078434458587136,3200889,22201,3653,2015-11-15 21:41:29+00:00
887705289381826560,3200890,30779,5609,2015-11-15 21:41:29+00:00
887517139158093824,3200890,46959,12082,2015-11-15 21:41:29+00:00
887473957103951883,3200890,69871,18781,2015-11-15 21:41:29+00:00
887343217045368832,3200890,34222,10737,2015-11-15 21:41:29+00:00
887101392804085760,3200890,31061,6167,2015-11-15 21:41:29+00:00
886983233522544640,3200890,35859,8084,2015-11-15 21:41:29+00:00
886736880519319552,3200890,12306,3443,2015-11-15 21:41:29+00:00
886680336477933568,3200890,22798,4610,2015-11-15 21:41:29+00:00
886366144734445568,3200890,21524,3316,2015-11-15 21:41:29+00:00
886267009285017600,3200890,117,4,2015-11-15 21:41:29+00:00
886258384151887873,3200890,28469,6523,2015-11-15 21:41:29+00:00
886054160059072513,3200890,0,108,2015-11-15 21:41:29+00:00
885984800019947520,3200890,33382,7097,2015-11-15 21:41:29+00:00
885528943205470208,3200890,36689,6683,2015-11-15 21:41:29+00:00
885518971528720385,3200890,20788,3899,2015-11-15 21:41:29+00:00
885311592912609280,3200890,0,19297,2015-11-15 21:41:29+00:00
885167619883638784,3200890,22367,4556,2015-11-15 21:41:29+00:00
884925521741709313,3200890,68152,16439,2015-11-15 21:41:29+00:00
884876753390489601,3200890,28514,6096,2015-11-15 21:41:29+00:00
884562892145688576,3200890,24765,5100,2015-11-15 21:41:29+00:00
884441805382717440,3200890,27478,5856,2015-11-15 21:41:29+00:00
884247878851493888,3200890,74423,21298,2015-11-15 21:41:29+00:00
884162670584377345,3200890,20771,3128,2015-11-15 21:41:29+00:00
